task_type,title,duration_minutes,urgency,deadline_urgency,importance_to_goals,depends_on_you,stress_level,motivation_level,enjoyment_level,task_blocking_others,priority
Health,Meditate,64,2,This Week,3,1,2,5,4,0,Low
Health,Sleep early,95,1,No Deadline,1,1,5,1,2,1,Low
Personal,Clean room,50,3,Today,3,1,2,5,2,1,Low
Study,Revise notes,131,5,Overdue,5,0,3,5,4,1,High
Work,Review code,104,4,Today,5,0,5,3,4,1,Medium
Study,Practice math,62,2,Next Week,1,0,4,2,1,0,Low
Personal,Call mom,124,4,This Week,4,1,3,1,4,1,Medium
Study,Practice math,12,1,This Week,5,1,1,4,1,0,Low
Health,Meditate,129,2,Tomorrow,4,1,3,3,3,0,Low
Study,Practice math,44,5,No Deadline,4,0,2,3,4,1,Medium
Study,Practice math,138,5,Next Week,4,1,5,2,1,0,Medium
Study,Read chapter,117,3,Today,5,0,4,3,2,0,Medium
Errand,Buy groceries,97,1,This Week,4,1,1,4,5,0,Low
Errand,Buy groceries,35,2,Today,3,1,1,3,3,0,Low
Work,Review code,141,2,This Week,4,1,2,2,5,0,Low
Health,Meditate,23,3,Overdue,2,1,3,1,1,1,Medium
Study,Revise notes,21,2,Overdue,2,1,2,5,1,1,Low
Study,Practice math,84,5,Next Week,4,0,3,5,1,1,Medium
Errand,Pick up parcel,97,2,No Deadline,5,1,5,5,1,0,Low
Personal,Organize photos,83,4,Today,3,0,2,1,3,1,Medium
Errand,Pick up parcel,133,1,No Deadline,5,0,4,1,4,1,Low
Health,Cook healthy meal,174,1,This Week,3,1,3,3,2,0,Low
Study,Watch lecture,97,4,Next Week,1,1,5,2,3,1,Medium
Errand,Car service,98,2,Next Week,1,1,2,1,3,1,Low
Health,Cook healthy meal,173,1,Overdue,4,0,2,5,1,1,Low
Errand,Buy groceries,61,5,Overdue,1,0,2,2,3,1,Medium
Study,Submit assignment,137,1,Tomorrow,4,1,1,4,1,0,Low
Study,Practice math,88,2,Today,2,1,1,4,2,0,Low
Errand,Pick up parcel,74,5,Tomorrow,3,1,5,1,1,0,Medium
Errand,Pick up parcel,52,2,Overdue,4,0,1,5,3,1,Medium
Study,Practice math,25,1,No Deadline,3,1,5,2,4,0,Low
Personal,Call mom,59,2,Overdue,5,1,2,5,4,1,Medium
Errand,Car service,94,2,Today,2,1,3,1,4,1,Low
Health,Go to gym,142,1,Tomorrow,4,0,5,5,3,1,Low
Errand,Car service,35,1,Tomorrow,3,1,2,5,3,1,Low
Errand,Visit bank,70,3,This Week,4,0,3,2,5,0,Medium
Personal,Organize photos,127,5,This Week,5,1,3,3,2,0,Medium
Errand,Car service,42,1,No Deadline,1,0,2,2,3,0,Low
Work,Send report,54,2,This Week,1,1,2,5,1,0,Low
Study,Revise notes,33,5,Next Week,2,0,3,4,2,0,Medium
Errand,Pick up parcel,68,1,No Deadline,5,1,5,1,3,1,Low
Study,Watch lecture,82,3,This Week,5,1,1,4,3,0,Medium
Errand,Buy groceries,41,5,Today,1,0,5,2,1,1,Medium
Health,Meditate,50,2,Tomorrow,4,0,2,3,1,1,Low
Study,Read chapter,154,3,Today,1,0,2,5,5,1,Low
Work,Fix bug,132,1,No Deadline,3,1,2,3,4,1,Low
Work,Send report,25,4,Overdue,2,0,5,1,2,0,Medium
Study,Revise notes,102,3,No Deadline,3,0,4,4,2,0,Low
Personal,Pay bills,135,3,Tomorrow,1,0,3,4,2,1,Low
Work,Write proposal,71,2,Today,5,1,2,4,5,1,Medium
Study,Submit assignment,162,1,Today,1,0,1,1,3,0,Low
Health,Take vitamins,36,3,Today,3,0,2,3,1,0,Low
Health,Go to gym,140,4,This Week,3,1,1,1,4,1,Medium
Errand,Pick up parcel,171,4,This Week,1,1,3,4,4,1,Low
Errand,Book tickets,108,4,This Week,1,1,3,5,1,1,Low
Study,Submit assignment,172,3,Next Week,2,1,2,3,4,1,Low
Health,Go to gym,15,5,Next Week,5,1,4,4,2,0,Medium
Work,Review code,87,2,This Week,1,0,2,5,3,0,Low
Errand,Pick up parcel,72,1,Today,3,1,4,1,1,1,Low
Work,Send report,63,3,Today,4,0,1,3,4,0,Low
Work,Fix bug,149,1,Tomorrow,4,0,4,2,4,1,Low
Work,Write proposal,33,2,Today,2,1,4,2,2,1,Low
Errand,Pick up parcel,76,4,No Deadline,1,1,3,3,1,1,Low
Study,Read chapter,109,3,Overdue,2,1,2,2,4,1,Medium
Personal,Plan trip,167,3,Overdue,5,1,4,5,5,1,Medium
Personal,Pay bills,69,3,Next Week,3,1,1,1,2,1,Medium
Errand,Car service,20,3,No Deadline,4,1,2,4,3,0,Low
Health,Sleep early,27,5,Next Week,1,1,4,5,4,1,Medium
Health,Meditate,84,5,Today,4,1,5,4,4,0,Medium
Errand,Pick up parcel,67,3,This Week,1,1,3,1,1,0,Low
Study,Practice math,177,3,No Deadline,4,0,1,5,2,1,Low
Personal,Plan trip,135,5,Today,1,0,2,3,5,0,Medium
Health,Go to gym,9,2,Next Week,2,1,2,2,4,1,Low
Study,Revise notes,76,5,Next Week,2,0,4,1,2,1,Medium
Work,Attend meeting,37,3,Tomorrow,5,1,2,5,2,1,Medium
Study,Submit assignment,128,5,This Week,5,1,2,5,3,0,Medium
Health,Sleep early,117,3,Next Week,4,0,3,2,5,1,Medium
Study,Read chapter,84,3,Today,4,1,5,2,4,1,Medium
Work,Send report,122,5,Today,5,0,1,3,3,0,Medium
Work,Review code,54,2,No Deadline,1,1,3,5,4,0,Low
Errand,Book tickets,134,3,Today,5,0,5,1,4,0,Medium
Work,Fix bug,124,5,Next Week,3,0,2,5,3,1,Medium
Errand,Buy groceries,92,1,No Deadline,5,0,5,1,5,0,Low
Health,Cook healthy meal,40,3,Overdue,1,0,3,5,2,0,Low
Health,Go to gym,133,5,This Week,4,0,2,4,3,1,Medium
Study,Watch lecture,37,3,Overdue,4,1,2,3,1,0,Medium
Health,Take vitamins,30,1,No Deadline,4,0,1,4,1,0,Low
Health,Meditate,151,1,No Deadline,2,1,5,5,4,1,Low
Personal,Call mom,102,4,Today,2,1,4,3,2,1,Medium
Study,Practice math,58,1,Today,3,1,1,2,1,0,Low
Errand,Pick up parcel,150,4,This Week,4,1,2,5,5,1,Medium
Personal,Plan trip,14,4,Overdue,5,0,4,1,1,0,High
Personal,Clean room,64,3,Overdue,4,1,1,5,5,1,Medium
Work,Send report,102,3,Today,3,1,1,3,1,0,Low
Work,Review code,9,5,Next Week,5,1,5,5,3,1,Medium
Study,Practice math,152,2,This Week,4,1,4,5,1,1,Low
Personal,Organize photos,23,3,Tomorrow,5,1,3,4,4,1,Medium
Personal,Call mom,104,2,Next Week,1,0,1,5,3,0,Low
Errand,Buy groceries,18,3,No Deadline,1,0,1,3,4,1,Low
Health,Take vitamins,126,2,Today,2,1,3,5,4,1,Low
Errand,Pick up parcel,143,3,Next Week,1,1,1,4,4,0,Low
Errand,Pick up parcel,47,3,Overdue,3,1,5,5,3,1,Medium
Health,Take vitamins,117,2,Next Week,2,1,4,2,3,0,Low
Health,Meditate,15,2,Overdue,2,0,1,4,3,0,Low
Errand,Visit bank,108,1,Tomorrow,2,1,3,5,3,0,Low
Study,Read chapter,160,2,Next Week,4,0,4,5,2,0,Low
Health,Sleep early,81,5,Today,1,1,5,3,2,1,Medium
Study,Revise notes,155,2,No Deadline,4,0,1,2,4,0,Low
Health,Take vitamins,22,2,No Deadline,5,1,5,2,3,0,Low
Personal,Call mom,123,1,Next Week,4,0,5,3,4,1,Low
Work,Attend meeting,177,4,Today,3,1,5,5,2,0,Medium
Work,Attend meeting,15,1,Tomorrow,3,0,2,5,5,0,Low
Study,Practice math,113,3,Next Week,2,0,4,1,5,0,Low
Errand,Book tickets,55,3,Overdue,1,0,2,1,5,0,Low
Study,Watch lecture,94,2,No Deadline,2,1,4,2,1,0,Low
Errand,Buy groceries,167,4,No Deadline,5,1,3,4,5,1,Medium
Health,Sleep early,174,5,No Deadline,5,1,5,1,3,1,Medium
Errand,Car service,66,5,This Week,3,0,5,1,1,1,Medium
Health,Meditate,38,4,Next Week,3,1,4,3,1,1,Medium
Personal,Clean room,151,4,Next Week,4,0,2,5,5,1,Medium
Work,Fix bug,154,4,Next Week,5,0,1,4,1,0,Medium
Errand,Car service,154,5,No Deadline,1,1,4,3,2,1,Low
Errand,Car service,128,4,Overdue,1,0,1,4,3,0,Medium
Errand,Buy groceries,173,4,Overdue,1,1,3,4,5,1,Medium
Health,Go to gym,108,1,Overdue,5,1,2,3,3,0,Medium
Work,Fix bug,50,2,No Deadline,4,0,4,1,2,0,Low
Errand,Book tickets,98,4,This Week,1,1,3,2,4,1,Medium
Health,Take vitamins,58,2,Next Week,5,1,2,4,3,1,Medium
Health,Meditate,76,3,This Week,4,0,4,4,2,0,Low
Work,Write proposal,128,4,Next Week,4,0,5,2,1,0,Medium
Work,Attend meeting,69,1,Next Week,2,0,3,5,2,1,Low
Personal,Clean room,170,1,No Deadline,3,0,5,2,5,0,Low
Personal,Plan trip,95,1,Next Week,4,1,3,1,4,0,Low
Work,Fix bug,96,5,Next Week,2,0,1,1,5,0,Medium
Study,Revise notes,33,3,Next Week,3,0,3,2,5,0,Low
Health,Meditate,119,5,Today,1,1,5,2,4,1,Medium
Work,Fix bug,41,4,Today,4,0,4,4,2,1,Medium
Study,Read chapter,178,2,Tomorrow,3,0,3,5,1,0,Low
Errand,Car service,33,1,Overdue,2,1,5,4,4,0,Low
Study,Practice math,101,4,Today,5,1,1,5,3,0,Medium
Health,Sleep early,58,4,Tomorrow,5,0,2,3,1,1,Medium
Errand,Car service,39,4,Overdue,5,1,4,4,4,0,Medium
Health,Meditate,162,1,This Week,2,1,3,3,3,1,Low
Health,Meditate,62,1,Next Week,3,0,3,4,1,1,Low
Study,Practice math,117,1,Tomorrow,4,1,3,2,5,1,Low
Health,Go to gym,42,2,No Deadline,2,0,2,1,2,1,Low
Work,Send report,96,2,Overdue,4,1,3,5,5,0,Medium
Personal,Pay bills,142,5,Today,5,1,5,2,5,1,High
Errand,Visit bank,155,3,Next Week,3,1,4,1,4,0,Medium
Study,Watch lecture,160,4,No Deadline,5,0,5,2,4,0,Low
Personal,Clean room,113,4,Today,2,0,1,4,2,1,Low
Errand,Buy groceries,32,2,This Week,3,0,3,2,4,0,Low
Personal,Call mom,167,1,This Week,3,1,1,3,2,1,Low
Work,Write proposal,58,5,No Deadline,1,0,4,4,5,1,Low
Study,Watch lecture,32,1,This Week,1,1,4,4,1,0,Low
Errand,Visit bank,160,3,Next Week,2,0,5,4,1,0,Low
Personal,Clean room,71,3,Today,4,1,3,5,1,1,Low
Personal,Plan trip,160,4,Overdue,3,1,5,4,1,0,Medium
Work,Write proposal,72,3,Today,3,1,3,1,1,1,Medium
Work,Fix bug,139,5,This Week,1,1,4,3,3,1,Medium
Errand,Visit bank,101,1,Next Week,5,1,4,2,5,1,Low
Work,Review code,22,3,This Week,3,1,4,4,4,1,Low
Study,Watch lecture,6,4,No Deadline,5,1,1,1,3,0,Medium
Health,Cook healthy meal,72,5,Tomorrow,3,0,4,4,5,0,Medium
Work,Attend meeting,47,1,Tomorrow,2,0,4,2,2,1,Low
Health,Take vitamins,40,1,Next Week,3,0,5,2,2,0,Low
Errand,Car service,180,1,No Deadline,1,1,2,5,2,1,Low
Health,Meditate,76,5,Tomorrow,5,1,4,2,5,0,Medium
Work,Attend meeting,78,2,No Deadline,1,0,1,5,2,1,Low
Errand,Pick up parcel,102,1,This Week,5,1,2,3,1,1,Low
Study,Submit assignment,108,1,Tomorrow,5,1,3,4,5,1,Low
Personal,Organize photos,88,5,Today,1,0,5,2,3,0,Medium
Work,Review code,102,4,No Deadline,3,0,3,3,2,1,Low
Errand,Buy groceries,30,5,This Week,1,1,5,2,5,1,Medium
Personal,Clean room,13,5,Today,3,0,5,3,4,1,Medium
Work,Attend meeting,82,4,Overdue,2,1,1,5,5,0,Medium
Study,Revise notes,177,3,Overdue,1,1,1,5,1,0,Low
Health,Meditate,25,2,No Deadline,1,0,1,1,1,1,Low
Personal,Pay bills,78,2,Today,2,0,2,2,2,1,Low
Personal,Plan trip,153,1,Next Week,3,1,2,5,4,0,Low
Study,Submit assignment,175,4,Overdue,3,1,5,3,4,0,Medium
Study,Submit assignment,58,2,Overdue,5,0,2,1,2,1,Medium
Personal,Call mom,99,5,Tomorrow,4,0,5,3,1,0,Medium
Health,Cook healthy meal,89,2,Tomorrow,2,1,1,4,3,1,Low
Health,Meditate,45,3,Overdue,1,1,2,3,2,1,Medium
Errand,Buy groceries,30,1,Next Week,2,1,5,1,4,0,Low
Study,Submit assignment,171,2,Today,2,1,5,1,4,0,Low
Errand,Car service,176,3,Tomorrow,2,0,3,3,2,0,Low
Work,Send report,64,2,Overdue,4,1,4,2,3,0,Medium
Personal,Clean room,45,3,Next Week,3,0,5,4,5,1,Low
Personal,Call mom,179,3,Today,3,0,2,1,5,1,Medium
Work,Write proposal,51,5,Today,2,0,1,2,2,1,Medium
Health,Meditate,147,1,Overdue,3,1,4,5,2,0,Low
Study,Read chapter,164,5,No Deadline,5,1,3,2,3,0,Medium
Errand,Pick up parcel,167,3,No Deadline,1,1,1,5,1,0,Low
Study,Revise notes,88,5,Tomorrow,5,0,4,3,3,1,Medium
Study,Read chapter,103,3,Next Week,3,0,2,1,2,1,Medium
Work,Send report,177,4,Next Week,3,0,4,5,2,0,Low
Personal,Pay bills,140,4,Tomorrow,4,0,1,4,4,0,Medium
Errand,Buy groceries,72,4,No Deadline,4,1,4,3,3,0,Low
Health,Cook healthy meal,47,4,No Deadline,1,0,4,4,4,0,Low
Study,Read chapter,167,2,Tomorrow,2,0,4,4,4,1,Low
Health,Take vitamins,14,2,Next Week,1,1,1,1,4,1,Low
Work,Write proposal,96,3,Overdue,4,0,3,4,5,1,Medium
Health,Sleep early,81,3,Next Week,5,1,5,1,2,0,Medium
Work,Review code,133,5,Overdue,1,1,3,5,4,1,Medium
Study,Watch lecture,25,1,This Week,3,0,4,4,5,1,Low
Work,Write proposal,145,2,Today,5,1,5,4,3,1,Medium
Personal,Pay bills,114,4,Today,3,1,4,4,3,1,Medium
Errand,Visit bank,89,5,Overdue,4,0,5,4,2,0,Medium
Health,Meditate,101,4,Overdue,2,1,5,5,4,0,Medium
Study,Practice math,21,5,No Deadline,1,0,5,4,4,0,Low
Personal,Organize photos,105,5,This Week,4,1,1,4,3,0,Medium
Work,Attend meeting,121,4,This Week,2,1,5,4,1,0,Low
Study,Submit assignment,39,4,Overdue,1,1,3,3,5,1,Medium
Study,Read chapter,62,4,This Week,1,0,5,2,1,1,Low
Work,Review code,117,1,Tomorrow,5,1,2,2,3,0,Low
Errand,Book tickets,49,3,Today,3,0,2,2,3,0,Low
Health,Cook healthy meal,15,5,Tomorrow,5,1,5,4,3,0,Medium
Health,Meditate,50,2,Today,5,0,3,5,1,0,Low
Personal,Pay bills,144,2,This Week,5,0,2,3,5,0,Low
Health,Go to gym,122,2,This Week,2,0,1,5,3,1,Low
Errand,Book tickets,11,2,Today,5,0,3,5,1,0,Low
Study,Practice math,15,1,Tomorrow,5,0,4,3,4,1,Low
Study,Practice math,150,1,Today,1,1,1,1,1,0,Low
Errand,Book tickets,121,4,Overdue,5,0,5,2,1,1,High
Errand,Buy groceries,12,1,This Week,1,1,1,1,2,1,Low
Personal,Organize photos,9,5,Today,4,1,1,2,5,1,Medium
Errand,Car service,83,2,This Week,5,0,1,3,2,1,Medium
Health,Take vitamins,77,1,Tomorrow,2,0,5,1,2,0,Low
Work,Write proposal,80,4,Next Week,5,0,5,2,3,1,Medium
Study,Watch lecture,43,4,Tomorrow,5,1,5,3,3,0,Medium
Personal,Organize photos,60,1,Today,1,1,1,4,1,1,Low
Health,Go to gym,15,3,Next Week,1,0,1,5,2,0,Low
Errand,Car service,58,4,Next Week,3,0,2,2,3,1,Medium
Work,Attend meeting,66,4,No Deadline,3,1,3,4,5,1,Low
Health,Meditate,174,5,Tomorrow,2,1,3,5,5,0,Medium
Personal,Call mom,81,1,Overdue,1,1,3,2,2,0,Low
Errand,Book tickets,18,1,Today,4,1,2,2,3,1,Low
Personal,Pay bills,51,2,Next Week,2,1,4,4,5,1,Low
Personal,Plan trip,105,3,No Deadline,4,1,5,2,1,0,Low
Errand,Pick up parcel,51,1,Today,3,0,5,5,4,0,Low
Personal,Plan trip,118,1,No Deadline,1,0,2,4,3,0,Low
Study,Submit assignment,124,3,Today,2,1,5,1,3,0,Low
Personal,Plan trip,17,2,Overdue,1,0,5,3,3,0,Low
Health,Cook healthy meal,78,4,Today,3,0,3,1,5,1,Medium
Personal,Call mom,115,2,Overdue,2,1,2,4,4,1,Low
Study,Read chapter,12,1,Today,3,1,3,3,4,1,Low
Errand,Car service,112,5,Overdue,2,0,4,3,1,1,Medium
Errand,Buy groceries,31,1,This Week,5,1,5,4,3,0,Low
Work,Send report,10,5,No Deadline,4,0,4,2,4,0,Medium
Study,Practice math,129,2,Overdue,2,0,2,4,3,0,Low
Work,Write proposal,33,3,No Deadline,1,0,1,5,4,0,Low
Health,Go to gym,64,1,No Deadline,5,1,3,2,3,1,Low
Work,Send report,102,5,Overdue,1,0,3,4,5,0,Medium
Study,Practice math,76,5,Today,4,1,3,3,1,1,Medium
Health,Take vitamins,75,4,Tomorrow,1,1,2,4,1,1,Low
Health,Go to gym,137,1,No Deadline,1,0,5,3,5,0,Low
Work,Review code,13,4,Today,3,1,3,4,2,1,Medium
Personal,Plan trip,40,4,No Deadline,1,1,2,5,3,1,Low
Health,Go to gym,124,4,Tomorrow,4,0,1,1,5,0,Medium
Errand,Visit bank,27,5,Today,4,1,1,5,5,1,Medium
Work,Fix bug,36,4,Today,4,1,2,2,2,1,Medium
Work,Fix bug,59,4,Next Week,2,0,1,2,4,0,Low
Personal,Organize photos,51,3,Overdue,2,0,3,5,4,1,Low
Health,Go to gym,135,3,Tomorrow,1,0,1,3,5,1,Low
Errand,Visit bank,42,3,Overdue,2,1,4,5,1,1,Low
Errand,Buy groceries,84,2,No Deadline,1,0,4,2,2,0,Low
Health,Sleep early,83,2,Next Week,4,1,1,5,3,1,Low
Study,Read chapter,128,4,Today,4,0,1,5,5,1,Medium
Work,Fix bug,26,4,Overdue,3,1,5,4,4,0,Medium
Errand,Pick up parcel,58,4,No Deadline,4,0,1,5,1,0,Low
Health,Go to gym,81,2,This Week,3,1,1,4,4,1,Low
Study,Read chapter,74,3,This Week,2,1,2,2,2,0,Low
Work,Write proposal,59,4,No Deadline,4,0,3,5,3,1,Low
Errand,Book tickets,117,3,Next Week,5,1,4,3,1,1,Medium
Errand,Book tickets,78,1,Tomorrow,5,0,2,1,3,1,Low
Personal,Organize photos,129,2,This Week,5,0,2,3,4,1,Medium
Work,Send report,157,3,No Deadline,4,0,3,1,3,1,Low
Health,Go to gym,39,2,This Week,5,1,3,4,1,0,Low
Personal,Clean room,176,3,Today,1,1,5,5,5,0,Low
Work,Review code,173,5,Tomorrow,2,0,5,5,1,0,Low
Health,Meditate,168,2,Tomorrow,3,1,4,1,4,0,Low
Personal,Pay bills,179,2,Tomorrow,1,1,5,4,1,1,Low
Work,Fix bug,99,1,This Week,2,1,5,4,5,0,Low
Work,Fix bug,74,1,This Week,1,1,5,4,4,0,Low
Study,Submit assignment,70,1,Today,5,0,3,3,2,1,Low
Study,Submit assignment,70,1,No Deadline,4,0,5,2,4,1,Low
Study,Watch lecture,52,1,Overdue,3,1,2,5,3,1,Low
Study,Submit assignment,110,4,Tomorrow,1,1,3,5,1,0,Low
Health,Cook healthy meal,143,2,Next Week,3,0,4,5,4,0,Low
Errand,Pick up parcel,142,3,No Deadline,4,0,3,5,1,1,Low
Health,Cook healthy meal,168,1,Today,1,1,3,4,4,1,Low
Work,Review code,143,3,Tomorrow,3,0,5,5,2,1,Low
Study,Watch lecture,39,3,Today,5,0,2,4,1,0,Medium
Personal,Pay bills,28,2,Next Week,3,0,4,2,4,0,Low
Errand,Car service,173,4,No Deadline,5,0,2,1,3,0,Medium
Health,Sleep early,152,1,Overdue,5,0,5,5,1,0,Low
Errand,Car service,80,4,Next Week,3,1,1,1,1,1,Medium
Work,Attend meeting,19,5,Today,3,0,1,1,4,0,Medium
Personal,Organize photos,175,3,Overdue,3,0,3,5,3,0,Low
Work,Review code,39,2,No Deadline,4,0,4,2,4,1,Low
Study,Read chapter,169,1,Today,1,1,3,4,3,0,Low
Errand,Book tickets,74,1,This Week,5,1,5,4,1,1,Low
Personal,Organize photos,169,2,Next Week,3,1,4,1,3,0,Low
Personal,Organize photos,36,2,This Week,5,0,3,1,1,1,Medium
Errand,Buy groceries,150,2,This Week,3,1,2,1,5,0,Low
Personal,Organize photos,131,3,Tomorrow,4,1,1,2,5,1,Medium
Errand,Book tickets,93,2,Today,3,0,2,2,3,1,Low
Study,Watch lecture,88,2,Overdue,4,0,1,3,5,0,Medium
Health,Meditate,172,4,This Week,2,1,2,5,5,0,Low
Health,Go to gym,19,1,No Deadline,1,0,4,1,5,1,Low
Health,Meditate,160,2,This Week,1,0,5,3,2,0,Low
Health,Cook healthy meal,130,2,Overdue,4,1,3,2,5,1,Medium
Errand,Pick up parcel,88,5,Next Week,4,1,4,2,1,1,Medium
Study,Read chapter,91,4,No Deadline,5,0,2,2,2,0,Low
Work,Send report,20,1,Overdue,4,0,5,4,5,0,Low
Personal,Call mom,16,1,Next Week,1,1,3,3,4,1,Low
Errand,Buy groceries,69,1,No Deadline,5,1,4,5,2,1,Low
Health,Cook healthy meal,62,2,Today,4,0,4,3,4,0,Low
Work,Fix bug,149,4,This Week,4,1,2,1,2,1,Medium
Errand,Visit bank,122,3,Overdue,3,1,4,2,4,1,Medium
Study,Revise notes,116,1,Next Week,5,1,2,3,4,1,Low
Health,Take vitamins,115,3,This Week,2,0,3,2,4,0,Low
Errand,Visit bank,81,2,Next Week,3,0,3,1,1,1,Low
Health,Meditate,48,5,This Week,5,1,3,2,4,0,Medium
Study,Revise notes,79,4,This Week,3,1,1,1,5,1,Medium
Personal,Call mom,24,1,Today,5,1,2,5,2,1,Low
Errand,Buy groceries,129,5,No Deadline,5,1,1,3,5,1,Medium
Health,Take vitamins,65,2,Tomorrow,3,0,2,1,2,0,Low
Study,Revise notes,108,5,Overdue,4,0,2,1,5,0,High
Errand,Visit bank,130,2,Tomorrow,2,0,2,3,5,1,Low
Work,Send report,157,2,Today,1,1,5,2,4,1,Low
Health,Meditate,73,5,Tomorrow,3,1,5,2,2,0,Medium
Study,Revise notes,41,2,Overdue,5,1,4,2,5,1,Medium
Health,Meditate,42,3,This Week,3,1,1,3,2,0,Low
Health,Cook healthy meal,150,5,Tomorrow,4,1,2,4,4,1,Medium
Study,Revise notes,53,3,This Week,1,1,5,5,5,1,Low
Health,Go to gym,169,3,Next Week,1,0,3,5,5,1,Low
Work,Write proposal,44,2,Tomorrow,3,1,3,2,1,1,Low
Health,Cook healthy meal,58,2,Overdue,3,0,2,3,5,0,Low
Work,Send report,134,3,Today,2,1,2,3,3,0,Low
Study,Watch lecture,101,5,Overdue,3,1,1,5,5,0,Medium
Errand,Car service,61,2,Today,4,1,2,5,4,0,Low
Errand,Car service,66,1,Tomorrow,5,0,4,2,1,1,Low
Work,Review code,34,2,Next Week,4,0,1,4,5,1,Low
Health,Sleep early,29,1,Overdue,5,0,1,5,3,0,Low
Errand,Book tickets,155,2,Tomorrow,5,1,4,2,1,1,Medium
Work,Attend meeting,140,5,Tomorrow,2,1,1,5,5,0,Medium
Personal,Call mom,175,2,No Deadline,1,0,5,2,1,0,Low
Personal,Call mom,28,2,No Deadline,3,0,5,5,1,1,Low
Health,Take vitamins,150,1,No Deadline,4,1,2,1,4,1,Low
Personal,Plan trip,147,3,Next Week,4,0,5,1,4,1,Medium
Errand,Visit bank,5,3,No Deadline,2,1,5,3,3,1,Low
Errand,Pick up parcel,35,2,Tomorrow,3,1,2,5,5,1,Low
Errand,Visit bank,167,4,This Week,3,1,5,1,4,1,Medium
Personal,Organize photos,116,3,Today,3,1,4,3,1,1,Medium
Work,Send report,8,2,Today,3,1,1,4,4,1,Low
Personal,Clean room,26,5,Tomorrow,1,0,1,4,4,1,Medium
Errand,Buy groceries,18,2,Today,5,1,2,5,3,0,Low
Work,Review code,109,4,Today,4,1,2,2,5,0,Medium
Errand,Car service,117,5,Today,4,0,4,3,3,0,Medium
Personal,Pay bills,127,4,Next Week,1,1,4,4,1,0,Low
Errand,Pick up parcel,146,2,This Week,5,1,1,4,1,0,Low
Personal,Organize photos,49,5,No Deadline,2,1,3,5,3,1,Low
Personal,Plan trip,31,3,Overdue,2,1,1,3,3,1,Medium
Health,Cook healthy meal,6,3,Next Week,4,0,2,4,5,0,Low
Errand,Car service,165,5,Tomorrow,1,0,5,3,3,0,Medium
Health,Sleep early,24,5,Overdue,4,0,2,1,3,0,High
Errand,Visit bank,84,5,Tomorrow,5,1,5,5,4,1,Medium
Errand,Pick up parcel,131,5,Next Week,2,1,2,4,2,0,Medium
Personal,Plan trip,11,4,Tomorrow,3,1,1,4,1,0,Medium
Health,Sleep early,39,5,Next Week,2,0,2,2,4,1,Medium
Study,Watch lecture,169,1,Today,3,0,5,5,2,0,Low
Errand,Buy groceries,67,5,Overdue,2,1,4,3,1,1,Medium
Personal,Call mom,19,1,No Deadline,3,0,3,2,5,1,Low
Errand,Buy groceries,36,1,No Deadline,4,1,1,1,3,1,Low
Personal,Call mom,46,5,Next Week,4,1,3,1,2,1,High
Study,Practice math,5,4,Today,1,0,2,1,4,0,Low
Work,Review code,122,4,Today,3,1,5,1,5,1,Medium
Work,Fix bug,94,2,Next Week,1,0,2,4,2,0,Low
